episode,epsilon,score,average_score,total_reward,average_reward,Q_table_length
230,0.794533602503334,17,20.337662337662337,7.0,10.380952380952381,5158
231,0.7937394660352427,13,20.30603448275862,3.0,10.349137931034482,5173
232,0.7929461233066837,10,20.261802575107296,0.0,10.304721030042918,5185
233,0.792153573524314,20,20.26068376068376,10.0,10.303418803418804,5207
234,0.7913618158955839,20,20.259574468085106,10.0,10.302127659574468,5229
235,0.7905708496287356,19,20.25423728813559,9.0,10.296610169491526,5250
236,0.7897806739328027,12,20.219409282700422,2.0,10.261603375527427,5264
237,0.7889912880176096,47,20.331932773109244,37.0,10.373949579831933,5313
238,0.7882026910937704,37,20.401673640167363,27.0,10.443514644351465,5352
239,0.7874148823726879,10,20.358333333333334,0.0,10.4,5364
240,0.7866278610665535,38,20.431535269709542,28.0,10.473029045643154,5404
241,0.7858416263883455,50,20.553719008264462,40.0,10.59504132231405,5456
242,0.7850561775518295,31,20.596707818930042,21.0,10.637860082304528,5489
243,0.7842715137715565,19,20.59016393442623,9.0,10.631147540983607,5510
244,0.7834876342628625,40,20.66938775510204,30.0,10.710204081632654,5552
245,0.7827045382418681,15,20.646341463414632,5.0,10.6869918699187,5569
246,0.7819222249254772,13,20.615384615384617,3.0,10.65587044534413,5584
247,0.7811406935313765,13,20.58467741935484,3.0,10.625,5599
248,0.7803599432780343,14,20.55823293172691,4.0,10.598393574297189,5615
249,0.7795799733847004,10,20.516,0.0,10.556,5627
250,0.7788007830714049,25,20.53386454183267,15.0,10.573705179282868,5654
251,0.7780223715589573,12,20.5,2.0,10.53968253968254,5668
252,0.7772447380689461,21,20.50197628458498,11.0,10.541501976284586,5691
253,0.7764678818237378,40,20.578740157480315,30.0,10.618110236220472,5733
254,0.775691802046476,29,20.611764705882354,19.0,10.650980392156862,5764
255,0.774916497961081,28,20.640625,18.0,10.6796875,5794
256,0.7741419687922484,22,20.64591439688716,12.0,10.684824902723735,5818
257,0.7733682137654491,21,20.647286821705425,11.0,10.686046511627907,5841
258,0.772595232106928,24,20.66023166023166,14.0,10.698841698841699,5867
